algoritmo,unidade,IDADE,HORAS_PS,HORA_CHEGADA,N_PS_30D,N_PS_90D,DIAS_ULT_PS,N_INT_365D,CD_SEXO,CD_CLINICA,CD_MOTIVO_ATENDIMENTO,CD_PROCEDENCIA,DIA_SEMANA
XGBoost,022,0.10906404256820679,0.4043588936328888,0.07051478326320648,0.04654907435178757,0.01989002898335457,0.1508079171180725,0.08383525907993317,0.017670828849077225,0.0479380264878273,0.0,0.01551109366118908,0.03386003151535988
XGBoost,076,0.18793444335460663,0.3769095540046692,0.053657662123441696,0.016715500503778458,0.02580523118376732,0.11085303127765656,0.15872274339199066,0.020801853388547897,0.009296509437263012,0.0,0.007017061114311218,0.03228650242090225
XGBoost,079,0.17592568695545197,0.3583066165447235,0.06800056248903275,0.019939128309488297,0.012608753517270088,0.13245148956775665,0.09397459030151367,0.005117660388350487,0.015647297725081444,0.0,0.08168306201696396,0.03634513542056084
XGBoost,151,0.1372632533311844,0.2990635633468628,0.09263843297958374,0.033917397260665894,0.018558993935585022,0.12475714832544327,0.10164424031972885,0.024294666945934296,0.09896185994148254,0.0,0.019962331280112267,0.048938069492578506
XGBoost,215,0.13874974846839905,0.47131454944610596,0.03993327170610428,0.022085685282945633,0.019783757627010345,0.11567307263612747,0.07098975777626038,0.024033591151237488,0.07442178577184677,0.0,0.0013393512926995754,0.021675432100892067
XGBoost,385,0.26030370593070984,0.3478979170322418,0.050827350467443466,0.021176040172576904,0.01583772525191307,0.1533854454755783,0.07152692973613739,0.02980382740497589,0.01241424959152937,0.0,0.01162576675415039,0.025201037526130676
XGBoost,515,0.1617116928100586,0.35556626319885254,0.07205191254615784,0.004104143474251032,0.0013387646758928895,0.1429366022348404,0.1390623152256012,0.021603817120194435,0.0048763807862997055,0.0,0.09074244648218155,0.006005569361150265
XGBoost,516,0.20345339179039001,0.32976117730140686,0.04167158529162407,0.03849855065345764,0.00701853446662426,0.12892645597457886,0.06353480368852615,0.035748325288295746,0.07962612062692642,0.010020553134381771,0.030571401119232178,0.031169086694717407
XGBoost,529,0.14918310940265656,0.47402387857437134,0.016724437475204468,0.016540318727493286,0.0027808314189314842,0.12968286871910095,0.11123951524496078,0.0032471371814608574,0.016191724687814713,0.0,0.0357765294611454,0.04460970312356949
XGBoost,551,0.23020075261592865,0.44944584369659424,0.017421044409275055,0.026865137740969658,0.0027954443357884884,0.09185826033353806,0.10004448890686035,0.0007174140773713589,0.05872240290045738,0.0036598448641598225,0.0074943359941244125,0.010774970054626465
XGBoost,564,0.12720388174057007,0.5452046394348145,0.009601614437997341,0.008094539865851402,0.003576528048142791,0.11905656009912491,0.08778563141822815,0.032091036438941956,0.054852426052093506,0.0,0.00045584756298922,0.0120773920789361
XGBoost,566,0.165019690990448,0.2797737717628479,0.05655503645539284,0.01756952330470085,0.007865248247981071,0.13326264917850494,0.14458894729614258,0.005748382303863764,0.05805401876568794,0.0,0.07630911469459534,0.055253684520721436
XGBoost,732,0.16898873448371887,0.2397187501192093,0.07691755890846252,0.034205567091703415,0.02850194461643696,0.13801507651805878,0.13294310867786407,0.03428199142217636,0.025920432060956955,0.0,0.057577040046453476,0.06292974203824997
XGBoost,733,0.16971436142921448,0.29155850410461426,0.08510363101959229,0.014326237142086029,0.009080811403691769,0.13596102595329285,0.1229170486330986,0.04133138433098793,0.034537628293037415,0.0,0.040370743721723557,0.055098630487918854
XGBoost,774,0.19130510091781616,0.2610083222389221,0.08018071949481964,0.039218463003635406,0.015034290961921215,0.1377328634262085,0.10337459295988083,0.030546855181455612,0.044375188648700714,0.0,0.039803024381399155,0.057420551776885986
LightGBM,022,0.10828957824299644,0.37250438330842595,0.07902949306225995,0.03923757805044259,0.03479123872734841,0.1527541149526715,0.06268457999395645,0.024452055702771744,0.06267845357665573,0.0,0.007069728429267867,0.05650879595320343
LightGBM,076,0.21209486654302803,0.38360519849995334,0.02567683978972517,0.013830810292109573,0.014858199942578556,0.1288107471974866,0.18065638699329792,0.015661517716601833,0.0158913108929663,0.0,0.0006334908359192118,0.008280631296333612
LightGBM,079,0.22007318753021402,0.3221396149767103,0.07273323559159488,0.028792065590875722,0.021377497779012607,0.12345138441695293,0.07097201969960454,0.0038644413016486446,0.023667872306520805,0.0,0.07851974113146805,0.03440893967539757
LightGBM,151,0.1824303593537076,0.2816482082467163,0.09940117385195263,0.04178715548919847,0.01852272206030413,0.11414560077312752,0.08371608888760905,0.011905060048617723,0.09186332104853664,0.0,0.012339022302871405,0.06224128793735846
LightGBM,215,0.16599906119791993,0.4681941106520564,0.04409531671950282,0.019005320451820695,0.028363496938376243,0.0928499781059073,0.06445048942010057,0.02783808061947262,0.05869528300279591,0.0,0.0009339331466290733,0.029574929745418473
LightGBM,385,0.2658692906092754,0.3459634391085155,0.04807248188345729,0.01924377687040634,0.01820754748192006,0.15901572645492124,0.07098031022763313,0.026482695276388097,0.00602542597826193,0.0,0.01393059607989391,0.02620871002932727
LightGBM,515,0.1560766609594261,0.262263018320435,0.09638296649281318,0.01856214999006313,0.01539267030948062,0.13207021819757933,0.09234428228676785,0.04693228484005308,0.013048081946186662,0.0,0.134457492543536,0.03247017411365912
LightGBM,516,0.2593613655587954,0.3386125886616266,0.042085525673038894,0.04353198045355525,0.006677953835506025,0.11373680887867708,0.06470004600778563,0.02825223915497242,0.033578824484183825,0.011282304222364425,0.03752977606948013,0.020650587000014157
LightGBM,529,0.16286228950863954,0.4417115461354482,0.043361593985176604,0.02421921629788371,0.00853138410569925,0.14593312868361555,0.11261503184544433,0.009080701005431043,0.013475632614874012,0.0,0.012594503908198577,0.025614971909589262
LightGBM,551,0.2614332850448286,0.3994344724395212,0.022656126192247043,0.031570166469374994,0.002203697105157366,0.10054606503604921,0.10506952758175518,0.010840693126475981,0.04603207746345247,0.009848550419907358,0.004055875194510742,0.006309463926719914
LightGBM,564,0.15459812767458597,0.4574589531574671,0.026935254207991775,0.013000539732532837,0.008861234463091602,0.13146637075039447,0.09301959017184654,0.05703846169457163,0.010848405939243293,8.076145126739569e-05,0.012143621063343496,0.034548679693664104
LightGBM,566,0.17125221205379465,0.23405621259403328,0.05420396050080003,0.02093030737889859,0.0306375327738472,0.14079655946738845,0.09086672748896842,0.020829006236531965,0.06180165239940629,0.0,0.10788912604797372,0.06673670305835741
LightGBM,732,0.20391297441633174,0.20081495770234625,0.07499115477404425,0.024032153130321605,0.03099602241630442,0.14737118031820232,0.09008106788715156,0.04927049621839777,0.02300830951942572,0.0,0.0800573242112294,0.07546435940624506
LightGBM,733,0.23555623136006662,0.28985081106358834,0.07968574321560863,0.03263489599998314,0.011806518963418187,0.11855085943119513,0.11634748246670776,0.03128563570633336,0.03690022883672312,0.0,0.018801244601528194,0.0285803483548472
LightGBM,774,0.22082800404320027,0.26102823345966314,0.09486988442009629,0.03023053112651004,0.029022244132876285,0.14560106950537285,0.06687169136906437,0.025533987224307372,0.02931952915692488,0.0,0.022045013265387627,0.07464981229659684
CatBoost,022,0.1117148708812765,0.4996507317528951,0.015837200493695636,0.07719584532582205,0.028990807348892148,0.09905785351172035,0.0456930272232452,0.012499285277756466,0.060154691542471266,5.488993458990079e-05,0.005117494292839944,0.04403330241479539
CatBoost,076,0.1899880769190258,0.2518032055491492,0.06142581130390484,0.11057059580517592,0.08073445782579602,0.06515447424130186,0.10249221776183687,0.06713160958709609,0.014011343896135233,4.394389160525823e-05,0.008619424315672239,0.04802483890330069
CatBoost,079,0.21740886286218267,0.3534636333059923,0.05322469135741954,0.11817685892094287,0.024661297952441086,0.038598892390103896,0.08153458611440771,0.013710381965957703,0.01574986822630297,4.12213918982902e-05,0.05598211816130378,0.02744758735104729
CatBoost,151,0.1394351055947709,0.47653029498694277,0.01417672312053965,0.10244012831615502,0.04045035193775461,0.028666114897939292,0.10588507763399954,0.006458102643011914,0.073616646474378,1.5831589391583466e-05,0.004266003015542208,0.008059619789574472
CatBoost,215,0.10784136374889707,0.6050036872310858,0.023098602779643193,0.03317143149040704,0.03521966320840819,0.0230333323157074,0.05808932138609748,0.051475173330627,0.028739061482922733,0.0004239443149424118,0.017629394646684532,0.016275024064577103
CatBoost,385,0.24770273975689958,0.2994033239322796,0.04735207085271322,0.11791314786415982,0.02104275302944676,0.11010295749928391,0.061557201707630835,0.04331099741553821,0.0072316700336823685,5.067921676789258e-05,0.023751304694611494,0.02058115399698625
CatBoost,515,0.18022199134088432,0.2650516279342037,0.08245841654696379,0.08289939584944239,0.010408525044079723,0.12854148776356902,0.08291788798240969,0.039294338750581,0.01738309755408269,0.003926663587124683,0.09218435520052237,0.014712212446136694
CatBoost,516,0.21814282465529322,0.24388474941739066,0.049478223919866136,0.08717505810889334,0.015276375029125442,0.06802918738125704,0.04914031971695635,0.04821145712773548,0.10250080110072243,0.05644232803588647,0.021180027835668188,0.04053864767120518
CatBoost,529,0.15794941812497745,0.4708098318849112,0.020698274156100566,0.0727572369106826,0.0030543660723488762,0.1500313128317768,0.07800947024604056,0.01320998152519561,0.0125244228722907,4.338515617653431e-05,0.011095803098740035,0.009816497120759325
CatBoost,551,0.2202991206457174,0.32461556125199864,0.04970350066835799,0.10254216394241605,0.016861462238213734,0.04093082704762913,0.0835137869660146,0.02653729718526764,0.05244033990128177,0.01680027881134312,0.04137914448977529,0.024376516851984595
CatBoost,564,0.09835030886460144,0.5709636100753658,0.00731741402580232,0.048782886129038,0.0038647891266290163,0.07570749495021367,0.09360989379929074,0.050471600724626725,0.016055535377440887,0.02480513538585964,0.0034425108902447214,0.0066288206508870184
CatBoost,566,0.15935471579296662,0.2596048503680947,0.04850536005596895,0.07940546812350835,0.019477311873878553,0.11231594120329563,0.13120905132672142,0.03602527840171976,0.03991038148777058,0.05198761274578471,0.023151627766055043,0.03905240085423577
CatBoost,732,0.17513603115006746,0.18018391824459407,0.0707152300697499,0.10409377561974884,0.04773600916007367,0.07573899299060631,0.09064070475997418,0.036924268075348446,0.07453442702153391,0.009260032663836489,0.06429148650581,0.07074512373865674
CatBoost,733,0.19516949367620717,0.28622206750270507,0.044047136534416956,0.08928992426792277,0.009030748352600388,0.06209031847551164,0.12777389184347998,0.07710574500161356,0.0762170257899291,0.00024142829837176959,0.015270712611149624,0.017541507646091966
CatBoost,774,0.2184340491210179,0.41065048084560524,0.0183817297265728,0.09561985380219744,0.014916870809934462,0.06660603127768717,0.0815325800168368,0.04133185299693381,0.04271950392602484,0.0001039247186662549,0.006993769123771012,0.0027093536347523738
Floresta,022,0.11143692151756324,0.38418269972554797,0.03313982574790675,0.11021964168666078,0.05681741434725388,0.0886556922463793,0.1015106820488139,0.01018324432795473,0.07566848193326467,0.0,0.01586914559978972,0.012316250818865187
Floresta,076,0.12829686625769354,0.19210898591188996,0.04996721052766822,0.15199927620369663,0.14874257570289498,0.07422334928973644,0.15347977146712333,0.0362121656579514,0.01991756041944445,2.7963716472455874e-05,0.015045524813203598,0.029978750032225054
Floresta,079,0.18071591672815857,0.42332245695775383,0.04451600400644001,0.08496136737378339,0.0319721098575434,0.026597577836541226,0.10235877496446434,0.004062544987913975,0.04174692430637159,0.0,0.04875186666006658,0.010994456320963027
Floresta,151,0.12581319980908154,0.33358061104703257,0.025497912734638528,0.12053566405609682,0.06911241676448773,0.04027181691758003,0.14539712562662754,0.004202885407725377,0.11626760828418121,0.0,0.009800250217452372,0.009520509135096123
